sexo,idade,faixa_etaria,cor_raca,escolaridade,horas_trabalho_por_semana,portador_de_deficiencia,tamanho_da_empresa,tempo_no_emprego,id
1,43,6,8,7,44,0,5,9.9,344549
1,34,5,2,8,44,0,2,40.3,2135750
2,59,7,99,9,30,0,10,367.8,2057284
1,49,6,8,7,44,0,10,131.1,1591618
1,50,7,8,7,42,0,10,10.0,1461698
1,61,7,8,5,44,0,9,55.4,465086
2,48,6,99,9,30,0,9,18.9,970841
2,48,6,8,7,22,0,3,89.9,256839
1,26,4,8,7,44,0,7,1.8,608568
1,43,6,8,7,44,0,2,34.9,1572029
1,22,3,8,7,44,0,2,12.9,1324862
2,45,6,99,9,40,0,10,149.3,436071
1,28,4,8,7,44,0,10,6.3,2309052
2,40,6,99,9,30,0,8,61.6,2458794
1,41,6,8,7,44,0,3,38.9,2273807
1,38,5,99,7,30,0,10,133.1,1306228
1,38,5,8,7,44,0,5,111.9,2132527
2,55,7,99,7,30,0,10,190.2,805971
2,43,6,8,3,44,0,5,45.9,754974
2,57,7,99,9,40,0,10,386.8,2205446
2,48,6,8,7,36,0,7,49.4,898007
2,32,5,8,7,44,0,2,56.5,1841472
1,39,5,9,7,44,0,3,12.4,49322
1,23,3,8,7,44,0,2,17.4,2129963
1,50,7,8,7,44,0,6,10.8,526149
2,37,5,2,9,19,0,5,42.6,279982
1,37,5,8,6,44,0,8,40.9,2235373
1,44,6,2,2,44,0,9,196.9,4520
2,31,5,8,2,44,0,10,8.9,1697585
1,37,5,8,7,44,0,8,56.6,674406
1,38,5,99,7,40,0,10,168.9,96808
1,33,5,2,7,44,0,3,15.9,594415
2,40,6,8,9,44,0,10,20.6,973552
2,42,6,8,9,44,0,5,95.9,416384
1,27,4,8,7,44,0,6,52.9,349792
2,55,7,99,9,40,0,10,388.9,1071436
2,42,6,99,9,40,0,7,77.0,423465
1,47,6,99,4,30,0,5,36.9,1120235
1,52,7,99,7,40,0,9,247.0,2283351
1,28,4,99,7,40,0,10,95.2,79222
1,32,5,8,9,4,0,4,11.7,1617087
1,43,6,99,7,30,0,10,10.4,1275402
1,42,6,8,7,44,0,7,12.6,1550647
2,29,4,99,9,40,0,10,89.9,300997
